question,choices,answer,subject,explaination
What is the purpose of Indirect 3GPP Communication? [3GPP Release 17],"['To connect an Evolved ProSe Remote UE to the 3GPP network via an Evolved ProSe UE-to-Network Relay', 'To enable GSM and UMTS communication', 'To support small data services for an Evolved ProSe Remote UE', 'To provide resource efficient management of shared radio spectrum']",0,Standards specifications,Indirect 3GPP Communication enables a remote UE to connect to the 3GPP network via a relay.
What modulation technique is used to modulate the electrical subcarriers in optical OFDM (OOFDM)?,"['Amplitude modulation (AM)', 'Frequency modulation (FM)', 'Phase modulation (PM)', 'Quadrature amplitude modulation (QAM)', 'Frequency-shift keying (FSK)']",3,Research publications,Quadrature amplitude modulation (QAM) is used to modulate the electrical subcarriers in OOFDM.
Which type of machine learning does not require labeled data?,"['Supervised learning', 'Unsupervised learning', 'Semi-supervised learning', 'Reinforcement learning']",1,Research overview,Unsupervised learning does not require labeled data and can investigate similarity among unlabeled data and classify the data into different groups.
What are the three components of the 802.11 management architecture? [IEEE 802.11],"['MLME, PLME, and SME', 'MAC, PHY, and SME', 'MLME, PHY, and SME', 'MAC, PLME, and SME']",0,Standards specifications,"The 802.11 management architecture consists of the MAC layer management entity (MLME), a physical-layer management entity (PLME), and a system management entity (SME)."
What is the purpose of the optimization algorithm in a Deep Learning model?,"['To adjust the outputs of each neuron.', 'To represent the weights of the model.', 'To evaluate the correctness of the results.', 'To optimize the model through a training process.', 'To adjust the learning rate of the model.']",3,Research overview,The optimization algorithm is used to adjust the weights of each neuron in the model through a training process.
What is the measure of energy efficiency in the NOMA (Non-orthogonal multiple access) heterogeneous network?,"['System sum rate', 'Total power consumption', 'Bits per Joule', 'Circuitry-consumed power', 'Transmission power']",2,Research publications,"Energy efficiency in the NOMA heterogeneous network is measured as bits per Joule, which is the ratio of the system sum rate and total power consumption."
What is the coverage area of a low-earth orbit (LEO) satellite? ,"['More than 1,000 km', 'More than several hundred km', 'More than 50 km', '20 km', 'Approximately 5 km']",1,Research overview,A low-earth orbit (LEO) satellite has a coverage area of more than several hundred km.
Which type of attack targets the storage and management of cryptographic keys in Bitcoin wallets?,"['Double Spending Attack', 'Client-side Security Threats', 'Mining Pool Attacks', 'Bitcoin Network Attacks', 'Security Breaches/Incidents']",1,Research overview,Client-side security threats target the storage and management of cryptographic keys in Bitcoin wallets.
What is the role of a RLSS in the GDD system? [IEEE 802.11],"['Providing GDBs with the current channel use information for all BSSs and IBSSs', 'Coordinating emissions footprints of white space systems with controllers', 'Sharing white space maps and channel utilization among GDD enabling STAs', 'Providing WSMs and current channel use information to GDD dependent STAs']",0,Standards specifications,"In some regulatory domains, a RLSS can provide GDBs with the current channel use information for all BSSs and IBSSs that communicate with it."
What is the purpose of guard bands in frequency allocation? [IEEE 802.11],"['To allocate frequencies for unlicensed use', 'To restrict the use of radio signals in certain areas', 'To prevent interference between licensed transmission bands', 'To regulate the power usage of radio transmissions']",2,Standards specifications,Guard bands are unused portions of the overall allocation that prevent extraneous leakage from the licensed transmission from affecting another allocated band.
What is the SNR target for higher CBWs assuming 16 and 20 dB? [3GPP Release 18],"['14.4 dB', '18.6 dB', '16 dB', '20 dB']",2,Standards specifications,The SNR target for higher CBWs assuming 16 dB is used.
